"id","project_id","parent_id","description","status_id","priority_id","links","source_file","sort_order","created_at","updated_at","completed_at","notes"
97,8,NULL,"decide if tasks should have files link",1,1,"","",0,"2026-04-24 16:52:31.365093","2026-04-24 16:52:31.365093",NULL,"do this after original us is solid, I'm leaning toward do this."
98,15,NULL,"create logger.py",1,2,"","",0,"2026-04-24 16:53:18.210739","2026-04-24 16:53:18.210739",NULL,"Apply changes from setupkit_venv_path_and_bootstrap.md"
99,15,NULL,"remove _setup_logging() from installer.py6",1,2,"","",0,"2026-04-24 16:54:10.467498","2026-04-24 16:54:10.467498",NULL,""
100,15,NULL,"remove LOG_PATH from installer.py",1,2,"","",0,"2026-04-24 16:55:19.692868","2026-04-24 16:55:19.692868",NULL,"setupkit_logger_and_setup_sh.md"
101,15,NULL,"update main() in installer.py",1,2,"","",0,"2026-04-24 16:55:40.601317","2026-04-24 16:55:40.601317",NULL,"setupkit_logger_and_setup_sh.md"
102,8,NULL,"Enable opening local file links from  curator.",1,1,"","",0,"2026-04-24 16:59:13.28808","2026-04-24 16:59:13.28808",NULL,"Currently opens url links fine but local file links try to find the file on localhost and return: ""{""detail"":""Not Found""}"" error"
103,14,NULL,"create the ability to only generate raw urls for a subset, like ""everything in the docs folder [repo root]/docs/*",1,1,"","",0,"2026-04-24 17:00:34.240839","2026-04-24 17:00:34.240839",NULL,""
65,14,NULL,"bugfix: manifest.fletch shows branch master when it is really main",4,2,"","",0,"2026-04-17 16:07:30.846375","2026-04-24 17:04:24.682703","2026-04-24 17:04:24.688536",""
67,8,NULL,"walk thru all board edit re-directs to identify any issues.",4,4,"","",0,"2026-04-17 16:26:22.574573","2026-04-24 17:06:22.967917","2026-04-24 17:06:22.973479",""
104,14,NULL,"fits ignore patterns so that they apply to every level of the repo hierarchy.",1,2,"","",0,"2026-04-24 17:01:39.037874","2026-04-24 17:01:39.037874",NULL,"It must not be doing this right now because  egginfo should never make it into the manifest"
105,15,NULL,"create setup.sh at dev-utils repo root",1,2,"","",0,"2026-04-24 17:03:13.130584","2026-04-24 17:03:13.130584",NULL,""
106,8,NULL,"Add delete task button to task full edit form. ",1,2,"","",0,"2026-04-24 17:05:46.614153","2026-04-24 17:05:46.614153",NULL,"visibility to be user role-based"
107,63,NULL,"this is a test task to see if task notes get saved",1,2,"","",0,"2026-04-25 19:16:07.305221","2026-04-25 19:16:07.305221",NULL,"test task not"
108,15,NULL,"Eventually change setpkit readme to skip reference to opt venv installtion",1,1,"","",0,"2026-04-26 17:37:57.222615","2026-04-26 17:37:57.222615",NULL,"this a network path I use so that any user on the machine can use what's installed there, but that's a personal preference that doesn't belong in the readme"
109,12,NULL,"Update the README.md in the repo root",4,2,"https://github.com/carolynboyle/dev-utils/blob/main/README.md","",0,"2026-04-26 17:40:54.779986","2026-04-26 17:40:54.779986",NULL,"done and in local repo, not yet committed."
60,12,NULL,"create a tool to automate creation of a network venv for installing python packages accessible to all users.",1,1,"https://claude.ai/chat/9c4c5974-a2cd-4ae6-b2e4-6ae7b20bbcac, https://claude.ai/chat/fafed263-0e83-407c-83bb-443f28a141df","",0,"2026-04-17 14:43:52.770544","2026-04-26 17:46:17.415233",NULL,""
110,8,NULL,"fix links in tasks",1,1,"","",0,"2026-04-26 17:51:06.138036","2026-04-26 17:51:06.138036",NULL,"saved links to claude.ai conversations, copied from adminer, and pasted into chromium got an error message"
111,12,NULL,"fix task edit updating",1,2,"","",0,"2026-04-26 17:52:58.713974","2026-04-26 17:52:58.713974",NULL,"added links to a task, save shows they're in adminer but they don't show in curator until the whole thing is restarted."
112,69,NULL,"Install ansible
",1,2,"","",0,"2026-05-06 19:03:54.340915","2026-05-06 19:03:54.340915",NULL,""
113,70,NULL,"firewall setup ",1,3,"","",0,"2026-05-06 19:58:50.654226","2026-05-06 19:58:50.654226",NULL,""
115,70,NULL,"Headscale coordination server",1,3,"","",0,"2026-05-06 19:59:41.202105","2026-05-06 20:17:34.898614",NULL,"curl -s https://api.github.com/repos/juanfont/headscale/releases/latest | grep ""browser_download_url.*linux_amd64.rpm"" | cut -d '""' -f 4"
117,70,NULL,"certbot for headscale
",1,3,"","",0,"2026-05-06 21:11:52.866975","2026-05-06 21:11:52.866975",NULL,""
114,70,NULL,"fail2ban",4,3,"","",0,"2026-05-06 19:59:05.636045","2026-05-06 21:12:01.39467","2026-05-06 21:12:01.402037",""
116,71,NULL,"install headscale",4,3,"","",0,"2026-05-06 20:19:45.276002","2026-05-07 19:22:45.645266","2026-05-07 19:22:45.675509",""
118,71,NULL,"Document everything it took to setup the lan on the new VPS and get everything working again",1,2,"","",0,"2026-05-07 19:23:52.097081","2026-05-07 19:23:52.097081",NULL,"new mesh broke everything, that is bad"
