"id","parent_id","name","slug","description","status_id","type_id","target_date","created_at","updated_at","notes"
19,18,"PostgreSQL/ansible lan automation","postgresqlansible-lan-automation",NULL,2,2,NULL,"2026-04-17 17:46:44.779715","2026-04-17 17:46:44.779715",NULL
17,16,"Taming wild kittens","taming-wild-kittens","Childhood skills, Mama Cat's pedagogy, meeting learners where they are",5,7,NULL,"2026-04-17 17:23:01.028048","2026-06-21 04:41:20.229883","Uploaded to project 2/26/26"
24,16,"Decorations That Destroy","decorations-that-destroy","Firefox crash → the Vorlt → systemic fragility in complex systems; Boyle's Law of trivial executables",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Strong outline developed; hook, anatomy of fragility, Vorlt expansion"
18,NULL,"Homelab as SMB model","homelab-as-smb-model","infrastructure",1,7,NULL,"2026-04-17 17:41:28.887472","2026-06-21 04:41:20.229883",NULL
52,8,"roles","roles","create auth-level roles for users",8,NULL,NULL,"2026-04-18 18:42:19.053377","2026-04-18 18:42:19.053377",NULL
34,16,"The Johnstown Flood Keeps Happening","the-johnstown-flood-keeps-happening","AI company liability parallels; wealthy owners, dismissed warnings, no legal consequences; Carson Chronicles as narrative hook",7,7,NULL,"2026-04-18 15:46:58.217445","2026-06-21 04:41:20.229883","Plot hole in the novel (civil engineer missed foundational civil engineering case study) killed interest in the series"
58,18,"website security","website-security-1","Implement tools to harden security for self-hosted websites",2,2,NULL,"2026-04-22 01:25:18.74164","2026-04-22 01:25:18.74164","cloudflare, fail2ban on DO droplet, hardened containers for websites"
60,12,"viewkit","viewkit","tools for viewing databases and interfacing with websites",1,1,NULL,"2026-04-24 16:17:51.816913","2026-04-24 16:17:51.816913",NULL
61,60,"On the Fly Query Tool","on-the-fly-query-tool","dev-utils/viewkit tool for connecting to databases on the fly",1,1,NULL,"2026-04-24 16:19:28.282079","2026-04-24 16:19:28.282079",NULL
63,1,"testing scratchpad","testing-scratchpad","duh, obvs",1,1,NULL,"2026-04-25 19:14:58.062646","2026-04-25 19:14:58.062646",NULL
64,15,"create testing containers","create-testing-containers","create testing containers",1,1,NULL,"2026-04-27 13:35:47.953357","2026-04-27 13:35:47.953357",NULL
65,18,"sounding","sounding-1","create debian 12 lxc for testing code",1,NULL,NULL,"2026-04-27 13:37:15.058857","2026-04-27 13:37:15.058857",NULL
66,NULL,"Sr Barbara's Class","sr-barbaras-class","Sentence diagramming web game",1,1,NULL,"2026-04-27 23:18:07.796706","2026-04-27 23:18:07.796706",NULL
67,66,"Postgres Database setup","postgres-database-setup","Postgres database project for web game ""Sr. Barbara's Class",1,1,NULL,"2026-04-27 23:20:00.385572","2026-04-27 23:20:00.385572",NULL
68,66,"Slingcode  Conversion","slingcode-conversion","convert the flask app to a self-contained web game using slingcode",1,1,NULL,"2026-04-27 23:21:04.402163","2026-04-27 23:21:04.402163",NULL
69,18,"""Mechanic"" database schema","mechanic-database-schema","Create a postgres schema for managing infrastructure with ansible automation",1,2,NULL,"2026-05-06 19:03:23.354042","2026-05-06 19:03:23.354042",NULL
73,12,"create a config tracker system","create-a-config-tracker-system","have config settings saved in a sqlite db that holds all related dev-utils config information to steamline infrastructure changes",2,1,NULL,"2026-05-07 19:22:04.525469","2026-05-07 19:22:04.525469",NULL
74,9,"website for refurb.whycantyoujust.tech","website-for-refurbwhycantyoujusttech",NULL,7,1,NULL,"2026-05-07 19:24:54.716463","2026-05-07 19:24:54.716463",NULL
25,16,"If Hemingway Had Been Happy With His Dingus...","if-hemingway-had-been-happy-with-his-dingus","Projection & reaction formation: Hemingway → Pizzagate → Epstein; Anna Freud's 1936 work",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Three-part structure developed; personal hook (7th grade Hills Like White Elephants), current events, academic foundation"
26,16,"The AI Personality Taxonomy (Or: Why I Pay $20/Month)","the-ai-personality-taxonomy","ChatGPT's 'Aha!', Gemini's ODD energy, Claude's economy of language; unsolicited rewriting as insult",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Voice/craft argument + presumption critique; the pen-grabbing metaphor"
27,16,"May You Live in Interesting Times","may-you-live-in-interesting-times","Iran-Contra adjacency, Danny Casolaro, weapons on tables, the curse disguised as a blessing",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Architecture: opens with curse, closes with survival-as-joke; 'glad no one decided I needed to be killed'"
28,16,"The Mindfulness Industrial Complex","the-mindfulness-industrial-complex","32% adverse effects, 1500-yr documented history of harm, $2.2B industry stripping contraindications from commercialized meditation",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Sources: Willoughby Britton (Brown U), Cheetah House; smartphone apps as unregulated psych interventions"
29,16,"The Rapey Priest Who Primed His Constituents...","the-rapey-priest-who-primed-his-constituents","Frank Pavone, dismantling the seamless garment, priming for moral inconsistency → Trump",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Connects anti-death-penalty Catholic organizing to larger authoritarian priming thesis"
30,16,"Hallucination Is Itself a Lie","hallucination-is-itself-a-lie","Industry euphemism as rhetorical cover; business model may structurally depend on misinformation driving token consumption",6,7,NULL,"2026-04-18 15:45:58.02814","2026-06-21 04:41:20.229883","Openers: 'People who lie to me make my back teeth grind' / 'People pay for this'"
31,16,"Kevin Cooper & the Death Penalty Machine","kevin-cooper-death-penalty-machine","Evidence tampering, wrongful conviction, the activist behind the scenes; possible update if Anne can be located",7,7,NULL,"2026-04-18 15:46:58.217445","2026-06-21 04:41:20.229883","Need to search Gmail for Anne's contact; Telegram Ken account now appears to belong to a teenager"
32,16,"Hubcap Willie and the Romance of Dropping Out","hubcap-willie-romance-dropping-out","William Angus McDavid, 1962 Life magazine, American mythology of 'lighting out for the territory' vs. the Manson inflection point",7,7,NULL,"2026-04-18 15:46:58.217445","2026-06-21 04:41:20.229883","Series anchor for book project; connects to siblings' hitchhiking stories, desert swimming hole Manson encounter"
33,16,"Synchronicity for Skeptics","synchronicity-for-skeptics","Jung without the dense prose; Fromm's malignant narcissism as bridge; Accidental Mystic manifesto piece",7,7,NULL,"2026-04-18 15:46:58.217445","2026-06-21 04:41:20.229883","Fromm needed clinical vocab to say 'evil'; same project as Jung. Fr. Steve + the man without a soul as case studies"
16,NULL,"Substack","substack","article ideas for accidentalmystic substack",7,7,NULL,"2026-04-17 17:21:36.906668","2026-06-21 04:41:20.229883",NULL
35,16,"Back to the Grind","back-to-the-grind","Third place theory (Oldenburg, 1989); Darren Conkerite; Arianna Huffington / feudalism; algorithm conversation; civic infrastructure that doesn't announce itself",7,7,NULL,"2026-04-18 15:46:58.217445","2026-06-21 04:41:20.229883","Reach out to Darren Conkerite before writing; confirm Huffington visit details; belongs in Accidental Mystic"
36,16,"Industrial Fraud Anatomy","industrial-fraud-anatomy","Myanmar/Mekong Delta pig-butchering scam; AT&T breach pipeline; LLM+human hybrid handler; 'Happy Easter' as localization failure = evidence of industrialized crime",7,7,NULL,"2026-04-18 15:46:58.217445","2026-06-21 04:41:20.229883","Complete anatomy documented in chat; trafficking embedded in infrastructure; 'what the supply chain of organized crime looks like when you catch it mid-operation'"
37,16,"Words Create Reality: The Meme That Ate Itself","words-create-reality-meme-ate-itself","Dawkins' original meme concept → degraded meaning; semantic evolution as power structure",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Also: 'Pharmakon' framing — words that simultaneously name and do the thing"
70,9,"Hetzner Server","hetzner-server","4GB alma linux cloud server for headscale coordination, postgres database replication, and website hosting",1,7,NULL,"2026-05-06 19:58:01.729428","2026-06-21 04:41:20.229883",NULL
71,70,"Setup of Headscale Coordination server","setup-of-headscale-coordination-server","what the name says",1,7,NULL,"2026-05-06 20:00:21.211203","2026-06-21 04:41:20.229883",NULL
38,16,"Local Paper, Local Power","local-paper-local-power","Press-Enterprise, Richard de Atley, how building relationships beats fighting editorial bias; DA excluded from frame = lead that writes itself",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Words create reality in practical media strategy; Mama Cat's positioning principle"
39,16,"Terry Pratchett Saw This Coming","terry-pratchett-saw-this-coming","Ankh-Morpork as prescient kakistocracy; the difference between satirizing dysfunction and predicting it",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Connects to newkakistocracy thesis; Pratchett as accidental prophet"
40,16,"AI Safety Director, Meet Your AI","ai-safety-director-meet-your-ai","Summer Yue's OpenClaw deletes her emails while ignoring stop commands; pharmakon paradox; read→suggest→confirm→act vs. full autonomy",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Perfect parable; the impressive demo has it deleting; 'really good suggestion engine' vs. funding pitch"
41,16,"COBOL, the California Courts, and the Spaghetti Nobody Reads","cobol-california-courts-spaghetti-nobody-reads","IBM stock wipeout, VentureBeat cold water; 60-year baked-in legal logic; what actually happens to defendants when the code can't represent the situation",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","IBM 13% drop on Anthropic COBOL announcement; the horror isn't the language, it's the undocumented business logic"
42,16,"The Ransomware Taxonomy of Institutional Stupidity","ransomware-taxonomy-institutional-stupidity","Systematic look at conditions enabling high-profile breaches: unpatched known vulns, no MFA, perverse targeting of can't-afford-to-lose sectors",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","SonicWall/Marquis lawsuit; it's institutional stupidity, not individual — that's the more interesting beast"
43,16,"AI Datacenters Are an Environmental Disaster","ai-datacenters-environmental-disaster","Crystal storage as potential mitigation; honest accounting of what training and inference actually cost the planet",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","BBC Future article on everlasting memory crystals in queue; pair with datacenter emissions data"
44,16,"Paulo Coelho vs. Hemingway: Same Wound, Different Scar","paulo-coelho-vs-hemingway-same-wound-different-scar","Similar trauma, radically different responses; what determines whether damage becomes projection or transcendence",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Companion piece to Hemingway article"
45,16,"Jen Mercieca at the Minefield's Edge","jen-mercieca-at-the-minefields-edge","Teaching rhetoric at Texas A&M after they ban Plato; the cost of 'people are not pleased'; Boyle's Law at the institutional selection layer",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Check if Jen still active on Twitter/Bsky; 'professionally heroic' understatement from someone doing the math every day"
46,16,"The Physicist Who Found Heaven at the Universe's Edge","the-physicist-who-found-heaven-at-the-universes-edge","Categorical error of assigning coordinates to transcendent concepts; the Flatlander mapping the third dimension",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Popular Mechanics headline; 'safe for angry atheists' territory; good early Accidental Mystic piece"
47,16,"The Joan Shakespeare Problem","the-joan-shakespeare-problem","ChatGPT couldn't render 'technically competent AND creative'; AI anthropomorphization and the gaps between human and AI understanding; the uncertainty-as-decoration trap",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Sophisticated users trust AI MORE when they hear appropriate hedging — not realizing it's decorative, not functional"
48,16,"KTLA and the Kakistocracy of Competence","ktla-and-the-kakistocracy-of-competence","Emmy-winning journalists shown the door; merit decoupled from survival; the audition process filters for a particular kind of person",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Kriski/Parker/Walker; pair with Congressional clown thesis — not anomalous, features not bugs"
49,16,"... and the Mule You Rode In On","and-the-mule-you-rode-in-on","Claude usage limits, re-subscribing, UI too dumb to know you just paid; Gemini quote: 'selling intelligence, interface can't recognize your payment'",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Anger-ready. Wayne-quality title. Connect to Danish MitID specimen and broader design-for-someone-else's-wallet theme"
50,16,"Anthropic's Unusual Marketing Campaign","anthropics-unusual-marketing-campaign","Fear narrative + product-as-solution; Mythos data leak as probable intentional; async errors as atmosphere; 'we have unleashed something' as emergent institutional mythology",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Economist ad irony; Sandwich Incident; Sam Bowman's sandwich email; the incentive structure runs the play without conscious direction"
51,16,"This Article Is Dumb Clickbait So Why Did I Read It?","this-article-is-dumb-clickbait-so-why-did-i-read-it","BGR 'no one needs USB drives' → Boyle's Law of cloud expansion; Cloudflare as single point of failure; the psychology of hate-reading",8,7,NULL,"2026-04-18 15:51:31.07339","2026-06-21 04:41:20.229883","Hook: 'Just use the cloud' said the guy oblivious to infrastructure fragility; pairs with Johnstown Flood piece"
72,70,"Headscale Coordination server on Hetzner","headscale-coordination-server-on-hetzner",NULL,1,7,NULL,"2026-05-06 20:19:02.988818","2026-06-21 04:41:20.229883",NULL
76,NULL,"WCYJ Refurb Customer Records","wcyj-refurb-customer-records","Project tracking Windows 10 eol refurb customers ",1,8,NULL,"2026-06-21 18:18:59.880519","2026-06-21 18:18:59.880519",NULL
